rank,category,score,designation,alt_names,country,manufacturer,description,key_specs,source_urls
1,Sea-launched cruise missiles,86.5,NSM Naval Strike Missile,"Naval Strike Missile; NSM Coastal Defence System; JSM (Joint Strike Missile, air-launched)",Norway,Kongsberg,"Fifth-generation long-range anti-ship missile with land-attack mode; low-observable shape, super sea skim, high-G random maneuvers and I3R intelligent imaging infrared seeker with Autonomous Target Re",Type: Anti Ship Missile (with land attack mode) | Weight NSM: Total: 407 Kg - Warhead: 120 Kg | Weight JSM: Total: 370 Kg - Warhead: 120 Kg | Weight: Total: 407 Kg - Warhead: 120 Kg | Dimensions NSM: Length: 3.96 m,https://www.armyrecognition.com/military-products/navy/weapons-systems/missiles/naval-strike-missile
2,Air-launched munitions,82.8,AGM-114 HELLFIRE (Lockheed Martin),,"United States, Australia, Bahrain, Egypt, France, Greece, India, Indonesia, Iraq, Israel, Italy, Japan, Jordan, Kuwait, Lebanon, Netherlands, Norway, Pakistan, Poland, Qatar, Saudi Arabia, Singapore, South Korea, Spain, Taiwan, Tunisia, Türkiye, United Arab Emirates, United Kingdom. Lockheed Martin reported 29 HELLFIRE customers in 2021.",Lockheed Martin Missiles and Fire Control,"The AGM-114 HELLFIRE is a United States-developed precision-guided missile family designed for engagement of armored vehicles, fortified positions, air-defense equipment, small vessels, light vehicles","Type: Short-range, supersonic air-to-surface and surface-to-surface precision-guided missile | Country users: United States, Australia, Bahrain, Egypt, France, Greece, India, Indonesia, Iraq, Israel, Italy, Japan, Jordan, Kuwait, Lebanon, Netherlands, Norway, Pakistan, Poland, Qatar, Saudi Arabia, Singapore, South Korea, Spain, Taiwan, Tunisia, Türkiye, United Arab Emirates, United Kingdom. Lockheed Martin reported 29 HELLFIRE customers in 2021. | Designer Country: United States | Launch Weight: 49.4 kg for the AGM-114R Multi-Purpose HELLFIRE II | Dimensions: Length: 1.63 m; Diameter: 0.178 m; Wingspan: approximately 0.33 m with control surfaces deployed.",https://www.armyrecognition.com/military-products/army/missiles/bombs/agm-114-hellfire-lockheed-martin
3,Air-launched munitions,82.8,Brimstone air-to-surface missile,,"United Kingdom, Saudi Arabia, Ukraine and Poland. The United Kingdom is the original operator and principal user. Saudi Arabia has acquired Brimstone for combat-aircraft employment, Ukraine has received the missile for operational surface-launched use, and Poland selected Brimstone for its Ottokar-Brzoza tank-destroyer program.",MBDA UK,"The MBDA Brimstone is a United Kingdom-developed precision-guided missile family designed for the engagement of main battle tanks, armored fighting vehicles, self-propelled artillery, mobile air-defen","Type: Short-to-medium-range, supersonic air-to-surface, surface-to-surface and maritime precision-guided missile | Country users: United Kingdom, Saudi Arabia, Ukraine and Poland. The United Kingdom is the original operator and principal user. Saudi Arabia has acquired Brimstone for combat-aircraft employment, Ukraine has received the missile for operational surface-launched use, and Poland selected Brimstone for its Ottokar-Brzoza tank-destroyer program. | Designer Country: United Kingdom | Weight: Approximately 50 kg, depending on missile variant and configuration | Dimensions: Length: approximately 1.8 m, Diameter: approximately 0.18 m, Wingspan: approximately 0.30 m with aerodynamic surfaces deployed",https://www.armyrecognition.com/military-products/army/missiles/bombs/brimstone-mbda
4,Air-launched munitions,82.2,JASSM AGM-158,,"Australia, Finland, Japan, Poland, South Korea, Ukraine, United States",,"The AGM-158 Joint Air-to-Surface Standoff Missile (JASSM) is a long-range, precision-guided cruise missile developed by Lockheed Martin for the United States Air Force (USAF) and allied nations. This ","Type: Air-launched cruise missile | Country users: Australia, Finland, Japan, Poland, South Korea, Ukraine, United States | Designer Country: United States | Launch Weight: 1,020 kg | Dimensions: Length: 4.27 m; Diameter: 0.45 m; Wingspan: 2.4 m",https://www.armyrecognition.com/military-products/army/missiles/cruise-missiles/jassm-agm-158
5,Air-launched munitions,82.2,Storm Shadow - SCALP,,Range,,"The Storm Shadow / SCALP is a long-range, air-launched, stand-off attack cruise missile that was developed by MBDA, a multinational defense company based in Europe. This missile was developed in the l","Type: Weight | Country users: Range | Designer Country: Speed | Weight: Air launched long-range cruise missile | Dimensions: Turbomeca Microturbo TRI 60-30 turbojet, producing 5.4 kN thrust",https://www.armyrecognition.com/military-products/army/missiles/cruise-missiles/storm-shadow-scalp-long-range-air-launched-attack-cruise-missile-data
6,Air-launched munitions,81.2,AGM-158 JASSM,Joint Air-to-Surface Standoff Missile; AGM-158B JASSM-ER; AGM-158D JASSM-XR; AGM-158C LRASM,United States,Lockheed Martin,"Low-observable air-launched standoff cruise missile designed to defeat dense air defense networks; declared operational 2003; >2,000 procured with plans for up to 10,000; stealth design evades S-300-c","Type: air-launched cruise missile | Country users: Australia, Finland, Japan, Poland, South Korea, Ukraine, United States | Designer Country: United States | Propulsion: Teledyne CAE J402-CA-100 turbojet (JASSM-ER uses more efficient turbofan) | Launch Weight: 1,020 kg",https://www.armyrecognition.com/military-products/army/missiles/cruise-missiles/jassm-agm-158
7,Air-launched munitions,81.2,Storm Shadow / SCALP-EG,SCALP (Système de Croisière Autonome à Longue Portée); Black Shaheen (UAE export),France / United Kingdom,MBDA,Long-range air-launched stand-off attack cruise missile for fixed hardened targets; BROACH two-stage tandem warhead for bunker penetration; entered RAF/Armée de l'Air service in late 1990s-early 2000s,"Type: air-launched long-range cruise missile | Country users: Egypt, France, Greece, Italy, India, Qatar, Saudi Arabia, Ukraine, UAE, United Kingdom | Designer Country: France / United Kingdom | Weight: 1,300 kg | Range: 560 km (250 km export version)",https://www.armyrecognition.com/military-products/army/missiles/cruise-missiles/storm-shadow-scalp-long-range-air-launched-attack-cruise-missile-data
8,UAVs,81.1,Shahed-136,Shahed-136 loitering munition; kamikaze drone,Iran,Iran Aircraft Manufacturing Industrial Company (HESA),"Iranian-made loitering ammunition, also called a suicide or kamikaze drone, developed and manufactured by Iran Aircraft Manufacturing Industrial Company (HESA). Unveiled in 2021, it is used by the Rus","Type: Wingspan | Country users: Weight | Designer Country: Speed | Weight: Iran | Wingspan: A loitering munition, also called a kamikaze or suicide drone",https://www.armyrecognition.com/military-products/army/unmanned-systems/unmanned-aerial-vehicles/shahed-136-loitering-munition-kamikaze-suicide-drone-technical-data
9,Sea-launched cruise missiles,79.5,3M14 Biryuza SS-N-30A Kalibr Sagaris,,"Algeria, China, India, Iran, Russia, Vietnam",,"The 3M14 Biryuza is a Russian sea-launched naval attack cruise missile (LACM) developed by NPO Novator, a leading defense enterprise in Russia. Known by its NATO designation Sagaris SS-N-30A, this mis","Type: Naval Land-Attack Cruise Missile (LACM) | Types of warhead: High-explosive, cluster warhead (with fragmentation, high-explosive, or cumulative submunitions), nuclear-capable (domestic variant) | Country users: Algeria, China, India, Iran, Russia, Vietnam | Designer Country: France | Weight Missile: Approximately 1,770 kg",https://www.armyrecognition.com/military-products/navy/weapons-systems/missiles/3m14-biryuza-ss-n-30a
10,Sea-launched cruise missiles,79.5,3M54-1 Kalibr SS-N-27 Sizzler,,"Russia, Algeria, India, Vietnam, China",,"The 3M54-1 Kalibr is a Russian anti-ship cruise missile developed by NPO Novator (OKB-8). Known by its NATO reporting name SS-N-27 “Sizzler,” this missile features a two-stage design optimized for pre","Type: Ship-launched or submarine-launched cruise missile. | Country users: Russia, Algeria, India, Vietnam, China | Designer Country: Russia | Weight: Varies on variant, from 1,300 kg-1,780 kg-2,300 kg | Dimensions: Length: Varies on variant, from 6.2 m to 8.9 m; Diameter: 0.533 m",https://www.armyrecognition.com/military-products/navy/weapons-systems/missiles/3m54-1-kalibr-ss-n-27-sizzler
